route,requested_width,configured_viewport_width,configured_viewport_height,window_inner_width,window_inner_height,document_client_width,document_client_height,visual_viewport_width,visual_viewport_height,visual_viewport_scale,device_pixel_ratio,root_scroll_width,body_scroll_width,scroll_width,has_vertical_scroll,native_scrollbar_width,actual_scrollbar_width,expected_scrollbar_width,scrollbar_coherent,visual_coherent,width_contract,horizontal_overflow,critical_control_count,critical_control_visible,critical_control_enabled,critical_expected_state,proof_control_count,proof_control_visible,proof_control_enabled,proof_control_reachability,critical_control_reachability,visible_error_count,screenshot_path,status
login,360,360,844,360,844,360,844,360,844,1,1,360,360,360,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-360-login.png,PASS
login,390,390,844,390,844,390,844,390,844,1,1,390,390,390,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-390-login.png,PASS
login,430,430,844,430,844,430,844,430,844,1,1,430,430,430,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-430-login.png,PASS
login,480,480,844,480,844,480,844,480,844,1,1,480,480,480,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-480-login.png,PASS
profile,360,360,844,360,844,345,844,345,844,1,1,345,345,345,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-360-profile.png,PASS
settings,360,360,844,360,844,345,844,345,844,1,1,345,345,345,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-360-settings.png,PASS
favorites,360,360,844,360,844,360,844,360,844,1,1,360,360,360,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-360-favorites.png,PASS
shopping-list,360,360,844,360,844,360,844,360,844,1,1,360,360,360,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-360-shopping-list.png,PASS
consent-withdrawal-state,360,360,844,360,844,345,844,345,844,1,1,345,345,345,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-360-consent-withdrawal-state.png,PASS
profile,390,390,844,390,844,375,844,375,844,1,1,375,375,375,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-390-profile.png,PASS
settings,390,390,844,390,844,375,844,375,844,1,1,375,375,375,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-390-settings.png,PASS
favorites,390,390,844,390,844,390,844,390,844,1,1,390,390,390,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-390-favorites.png,PASS
shopping-list,390,390,844,390,844,390,844,390,844,1,1,390,390,390,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-390-shopping-list.png,PASS
consent-withdrawal-state,390,390,844,390,844,375,844,375,844,1,1,375,375,375,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-390-consent-withdrawal-state.png,PASS
profile,430,430,844,430,844,415,844,415,844,1,1,415,415,415,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-430-profile.png,PASS
settings,430,430,844,430,844,415,844,415,844,1,1,415,415,415,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-430-settings.png,PASS
favorites,430,430,844,430,844,430,844,430,844,1,1,430,430,430,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-430-favorites.png,PASS
shopping-list,430,430,844,430,844,430,844,430,844,1,1,430,430,430,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-430-shopping-list.png,PASS
consent-withdrawal-state,430,430,844,430,844,415,844,415,844,1,1,415,415,415,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-430-consent-withdrawal-state.png,PASS
profile,480,480,844,480,844,465,844,465,844,1,1,465,465,465,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-480-profile.png,PASS
settings,480,480,844,480,844,465,844,465,844,1,1,465,465,465,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-480-settings.png,PASS
favorites,480,480,844,480,844,480,844,480,844,1,1,480,480,480,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-480-favorites.png,PASS
shopping-list,480,480,844,480,844,480,844,480,844,1,1,480,480,480,false,15,0,0,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-480-shopping-list.png,PASS
consent-withdrawal-state,480,480,844,480,844,465,844,465,844,1,1,465,465,465,true,15,15,15,true,true,true,false,1,true,true,true,1,true,true,true,true,0,screenshots/viewport-480-consent-withdrawal-state.png,PASS
